id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-17 08:27:45,nb15_sat20_udp_ddos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5079,0.1053,0.0,1.0,1.0,0.0
15,2026-07-17 08:28:02,nb15_sat20_udp_ddos,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5224,0.1315,0.0,1.0,1.0,0.0
25,2026-07-17 08:28:19,nb15_sat20_udp_ddos,nb15,"Normal, Exploits",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5165,0.1208,0.0,1.0,1.0,0.0
35,2026-07-17 08:28:36,nb15_sat20_udp_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5111,0.111,0.0,1.0,1.0,0.0
45,2026-07-17 08:28:53,nb15_sat20_udp_ddos,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5006,0.0922,0.0,1.0,1.0,0.0
55,2026-07-17 08:29:10,nb15_sat20_udp_ddos,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.506,0.1019,0.0,1.0,1.0,0.0
65,2026-07-17 08:29:28,nb15_sat20_udp_ddos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,6,18600,0,1854,0.9094,1.0,0.0032,0.0064,0.5114,0.1116,0.0032,0.9968,1.0,0.0
75,2026-07-17 08:29:45,nb15_sat20_udp_ddos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1720,18600,0,140,0.9932,1.0,0.9247,0.9609,0.9997,0.9995,0.9247,0.0753,1.0,0.0
85,2026-07-17 08:30:02,nb15_sat20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1743,18600,0,117,0.9943,1.0,0.9371,0.9675,0.9997,0.9995,0.9371,0.0629,1.0,0.0
95,2026-07-17 08:30:20,nb15_sat20_udp_ddos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1728,18600,0,132,0.9935,1.0,0.929,0.9632,1.0,1.0,0.929,0.071,1.0,0.0
105,2026-07-17 08:30:37,nb15_sat20_udp_ddos,nb15_sat20,"Normal, Syn_DDoS",102300,1618,18600,0,242,0.9882,1.0,0.8699,0.9304,1.0,1.0,0.8699,0.1301,1.0,0.0
115,2026-07-17 08:30:55,nb15_sat20_udp_ddos,nb15_sat20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
125,2026-07-17 08:31:12,nb15_sat20_udp_ddos,nb15_ter20,"Normal, Botnet",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
135,2026-07-17 08:31:29,nb15_sat20_udp_ddos,nb15_ter20,"Normal, DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
145,2026-07-17 08:31:46,nb15_sat20_udp_ddos,nb15_ter20,"Normal, Syn_DDoS",102300,1070,18600,0,790,0.9614,1.0,0.5753,0.7304,1.0,1.0,0.5753,0.4247,1.0,0.0
155,2026-07-17 08:32:04,nb15_sat20_udp_ddos,nb15_ter20,"Normal, UDP_DDoS",102300,1600,18600,0,260,0.9873,1.0,0.8602,0.9249,1.0,1.0,0.8602,0.1398,1.0,0.0
