id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-10 23:13:08,rf_model_nb15_aggregate,nb15,Normal,93000,0,18432,168,0,None,None,0.0,None,None,None,None,None,0.991,0.009
2,2026-07-10 23:13:11,rf_model_nb15_dos,nb15,Normal,93000,0,18541,59,0,None,None,0.0,None,None,None,None,None,0.9968,0.0032
3,2026-07-10 23:13:14,rf_model_nb15_exploits,nb15,Normal,93000,0,18478,122,0,None,None,0.0,None,None,None,None,None,0.9934,0.0066
4,2026-07-10 23:13:17,rf_model_nb15_fuzzers,nb15,Normal,93000,0,18012,588,0,None,None,0.0,None,None,None,None,None,0.9684,0.0316
5,2026-07-10 23:13:21,rf_model_nb15_generic,nb15,Normal,93000,0,18594,6,0,None,None,0.0,None,None,None,None,None,0.9997,0.0003
6,2026-07-10 23:13:24,rf_model_nb15_reconnaissance,nb15,Normal,93000,0,18524,76,0,None,None,0.0,None,None,None,None,None,0.9959,0.0041
7,2026-07-10 23:13:27,rf_model_injection_aggregate,nb15,Normal,93000,0,18501,99,0,None,None,0.0,None,None,None,None,None,0.9947,0.0053
8,2026-07-10 23:13:30,rf_model_smote_aggregate,nb15,Normal,93000,0,18600,0,0,None,None,0.0,None,None,None,None,None,1.0,0.0
9,2026-07-10 23:13:34,if_model_nb15_normal,nb15,Normal,93000,0,16620,1980,0,None,None,0.0,None,None,None,None,None,0.8935,0.1065
10,2026-07-10 23:13:37,if_model_nb15_aggregate,nb15,Normal,93000,0,16601,1999,0,None,None,0.0,None,None,None,None,None,0.8925,0.1075
11,2026-07-10 23:13:44,rf_model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1550,18432,168,310,0.9766,0.9022,0.8333,0.8664,0.9715,0.914,0.8333,0.1667,0.991,0.009
12,2026-07-10 23:13:49,rf_model_nb15_dos,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1355,18541,59,505,0.9724,0.9583,0.7285,0.8277,0.9312,0.8445,0.7285,0.2715,0.9968,0.0032
13,2026-07-10 23:13:53,rf_model_nb15_exploits,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,765,18478,122,1095,0.9405,0.8625,0.4113,0.557,0.9171,0.7393,0.4113,0.5887,0.9934,0.0066
14,2026-07-10 23:13:58,rf_model_nb15_fuzzers,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,561,18012,588,1299,0.9078,0.4883,0.3016,0.3729,0.9023,0.5251,0.3016,0.6984,0.9684,0.0316
15,2026-07-10 23:14:03,rf_model_nb15_generic,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1087,18594,6,773,0.9619,0.9945,0.5844,0.7362,0.8887,0.7906,0.5844,0.4156,0.9997,0.0003
16,2026-07-10 23:14:08,rf_model_nb15_reconnaissance,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1200,18524,76,660,0.964,0.9404,0.6452,0.7653,0.9009,0.7918,0.6452,0.3548,0.9959,0.0041
17,2026-07-10 23:14:13,rf_model_injection_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1500,18501,99,360,0.9776,0.9381,0.8065,0.8673,0.9694,0.9122,0.8065,0.1935,0.9947,0.0053
18,2026-07-10 23:14:17,rf_model_smote_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5747,0.2143,0.0,1.0,1.0,0.0
19,2026-07-10 23:14:22,if_model_nb15_normal,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,214,16620,1980,1646,0.8228,0.0975,0.1151,0.1056,0.5943,0.1169,0.1151,0.8849,0.8935,0.1065
20,2026-07-10 23:14:28,if_model_nb15_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,179,16601,1999,1681,0.8201,0.0822,0.0962,0.0887,0.4814,0.0877,0.0962,0.9038,0.8925,0.1075
21,2026-07-10 23:14:36,rf_model_nb15_aggregate,nb15,"DoS, Normal",102300,1716,18432,168,144,0.9848,0.9108,0.9226,0.9167,0.9912,0.9633,0.9226,0.0774,0.991,0.009
22,2026-07-10 23:14:41,rf_model_nb15_dos,nb15,"DoS, Normal",102300,1746,18541,59,114,0.9915,0.9673,0.9387,0.9528,0.994,0.9795,0.9387,0.0613,0.9968,0.0032
23,2026-07-10 23:14:45,rf_model_nb15_exploits,nb15,"DoS, Normal",102300,1733,18478,122,127,0.9878,0.9342,0.9317,0.933,0.993,0.97,0.9317,0.0683,0.9934,0.0066
24,2026-07-10 23:14:51,rf_model_nb15_fuzzers,nb15,"DoS, Normal",102300,1442,18012,588,418,0.9508,0.7103,0.7753,0.7414,0.9514,0.8456,0.7753,0.2247,0.9684,0.0316
25,2026-07-10 23:14:56,rf_model_nb15_generic,nb15,"DoS, Normal",102300,1315,18594,6,545,0.9731,0.9955,0.707,0.8268,0.9524,0.9066,0.707,0.293,0.9997,0.0003
26,2026-07-10 23:15:01,rf_model_nb15_reconnaissance,nb15,"DoS, Normal",102300,1436,18524,76,424,0.9756,0.9497,0.772,0.8517,0.9469,0.8836,0.772,0.228,0.9959,0.0041
27,2026-07-10 23:15:05,rf_model_injection_aggregate,nb15,"DoS, Normal",102300,1674,18501,99,186,0.9861,0.9442,0.9,0.9216,0.9894,0.9642,0.9,0.1,0.9947,0.0053
28,2026-07-10 23:15:10,rf_model_smote_aggregate,nb15,"DoS, Normal",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.6973,0.4365,0.0,1.0,1.0,0.0
29,2026-07-10 23:15:15,if_model_nb15_normal,nb15,"DoS, Normal",102300,213,16620,1980,1647,0.8227,0.0971,0.1145,0.1051,0.6752,0.1448,0.1145,0.8855,0.8935,0.1065
