id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc
15,2026-06-19 21:20:18,isolation_forest,if_model_1,sat20,Syn_DDoS,7816,7816,0,0,0,None,None,1.0,None
16,2026-06-19 21:20:18,isolation_forest,if_model_1,sat20,UDP_DDoS,8649,8649,0,0,0,None,None,1.0,None
11,2026-06-19 21:20:27,random_forest,rf_model_1,sat20,Syn_DDoS,7816,6697,0,0,1119,None,None,0.8568321392016377,None
12,2026-06-19 21:20:27,random_forest,rf_model_1,sat20,UDP_DDoS,8649,5184,0,0,3465,None,None,0.5993756503642039,None
27,2026-06-19 21:20:36,random_forest,rf_model_2,sat20,Syn_DDoS,7816,2,0,0,7814,None,None,0.00025588536335721597,None
28,2026-06-19 21:20:36,random_forest,rf_model_2,sat20,UDP_DDoS,8649,8646,0,0,3,None,None,0.9996531390912244,None
43,2026-06-19 21:20:46,random_forest,rf_model_3,sat20,Syn_DDoS,7816,2,0,0,7814,None,None,0.00025588536335721597,None
44,2026-06-19 21:20:47,random_forest,rf_model_3,sat20,UDP_DDoS,8649,8646,0,0,3,None,None,0.9996531390912244,None
59,2026-06-19 21:20:55,random_forest,rf_model_4,sat20,Syn_DDoS,7816,0,0,0,7816,None,None,0.0,None
60,2026-06-19 21:20:55,random_forest,rf_model_4,sat20,UDP_DDoS,8649,4262,0,0,4387,None,None,0.49277373106717537,None
75,2026-06-19 21:21:03,random_forest,rf_model_5,sat20,Syn_DDoS,7816,7081,0,0,735,None,None,0.9059621289662231,None
76,2026-06-19 21:21:03,random_forest,rf_model_5,sat20,UDP_DDoS,8649,4279,0,0,4370,None,None,0.49473927621690367,None
93,2026-06-19 21:21:13,random_forest,rf_model_6,sat20,Syn_DDoS,7816,2,0,0,7814,None,None,0.00025588536335721597,None
94,2026-06-19 21:21:14,random_forest,rf_model_6,sat20,UDP_DDoS,8649,8647,0,0,2,None,None,0.9997687593941497,None
106,2026-06-19 21:21:20,random_forest,rf_model_7,sat20,Syn_DDoS,7816,7816,0,0,0,None,None,1.0,None
107,2026-06-19 21:21:20,random_forest,rf_model_7,sat20,UDP_DDoS,8649,8648,0,0,1,None,None,0.9998843796970748,None
119,2026-06-19 21:21:26,random_forest,rf_model_8,sat20,Syn_DDoS,7816,7816,0,0,0,None,None,1.0,None
120,2026-06-19 21:21:26,random_forest,rf_model_8,sat20,UDP_DDoS,8649,8648,0,0,1,None,None,0.9998843796970748,None
